force,strain
10.1977002,211.59799999999998
10.1977002,208.74099999999999
10.1977002,204.094
10.1977002,177.99
10.1977002,174.477
10.1977002,170.956
10.1977002,142.7
10.1977002,139.164
10.1977002,135.628
10.1977002,107.337
10.1977002,103.8
10.1977002,100.261
10.1977002,71.563
10.1977002,68.598
10.1977002,65.29899999999999
10.1977002,209.441
10.1977002,206.023
10.1977002,202.346
10.1977002,177.90800000000002
10.1977002,174.41
10.1977002,170.9
10.1977002,142.662
10.1977002,139.126
10.1977002,135.59
10.1977002,107.286
10.1977002,103.745
10.1977002,100.202
10.1977002,71.264
10.1977002,68.25
10.1977002,64.94399999999999
10.1977002,211.59099999999998
10.1977002,208.731
10.1977002,204.08700000000002
10.1977002,177.984
10.1977002,174.471
10.1977002,170.95000000000002
10.1977002,142.692
10.1977002,139.156
10.1977002,135.62
10.1977002,107.327
10.1977002,103.789
10.1977002,100.25
10.1977002,71.55199999999999
10.1977002,68.591
10.1977002,65.296
10.1977002,211.59799999999998
10.1977002,208.74099999999999
10.1977002,204.094
10.1977002,177.99
10.1977002,174.477
10.1977002,170.956
10.1977002,142.7
10.1977002,139.164
10.1977002,135.628
10.1977002,107.337
10.1977002,103.8
10.1977002,100.261
10.1977002,71.563
10.1977002,68.598
10.1977002,65.29899999999999
10.1977002,209.441
10.1977002,206.023
10.1977002,202.346
10.1977002,177.90800000000002
10.1977002,174.41
10.1977002,170.9
10.1977002,142.662
10.1977002,139.126
10.1977002,135.59
10.1977002,107.286
10.1977002,103.745
10.1977002,100.202
10.1977002,71.264
10.1977002,68.25
10.1977002,64.94399999999999
10.1977002,211.59099999999998
10.1977002,208.731
10.1977002,204.08700000000002
10.1977002,177.984
10.1977002,174.47
10.1977002,170.95000000000002
10.1977002,142.692
10.1977002,139.156
10.1977002,135.62
10.1977002,107.327
10.1977002,103.789
10.1977002,100.25
10.1977002,71.55199999999999
10.1977002,68.591
10.1977002,65.296
10.2123504,211.90200000000002
10.2123504,209.041
10.2123504,204.388
10.2123504,178.245
10.2123504,174.727
10.2123504,171.202
10.2123504,142.905
10.2123504,139.364
10.2123504,135.823
10.2123504,107.49199999999999
10.2123504,103.949
10.2123504,100.405
10.2123504,71.666
10.2123504,68.697
10.2123504,65.393
10.2123504,209.74099999999999
10.2123504,206.319
10.2123504,202.637
10.2123504,178.163
10.2123504,174.661
10.2123504,171.14600000000002
10.2123504,142.867
10.2123504,139.326
10.2123504,135.78400000000002
10.2123504,107.44
10.2123504,103.894
10.2123504,100.346
10.2123504,71.36699999999999
10.2123504,68.349
10.2123504,65.03699999999999
10.2123504,211.895
10.2123504,209.031
10.2123504,204.381
10.2123504,178.24
10.2123504,174.721
10.2123504,171.196
10.2123504,142.89700000000002
10.2123504,139.35600000000002
10.2123504,135.81500000000003
10.2123504,107.482
10.2123504,103.938
10.2123504,100.394
10.2123504,71.655
10.2123504,68.68900000000001
10.2123504,65.39
10.2123504,211.90200000000002
10.2123504,209.041
10.2123504,204.388
10.2123504,178.245
10.2123504,174.727
10.2123504,171.202
10.2123504,142.905
10.2123504,139.364
10.2123504,135.823
10.2123504,107.49199999999999
10.2123504,103.949
10.2123504,100.405
10.2123504,71.666
10.2123504,68.697
10.2123504,65.393
10.2123504,209.74099999999999
10.2123504,206.319
10.2123504,202.637
10.2123504,178.163
10.2123504,174.661
10.2123504,171.14600000000002
10.2123504,142.867
10.2123504,139.326
10.2123504,135.78400000000002
10.2123504,107.44
10.2123504,103.894
10.2123504,100.346
10.2123504,71.36699999999999
10.2123504,68.349
10.2123504,65.03699999999999
10.2123504,211.89399999999998
10.2123504,209.031
10.2123504,204.38
10.2123504,178.239
10.2123504,174.721
10.2123504,171.196
10.2123504,142.89700000000002
10.2123504,139.35600000000002
10.2123504,135.81500000000003
10.2123504,107.482
10.2123504,103.938
10.2123504,100.394
10.2123504,71.655
10.2123504,68.68900000000001
10.2123504,65.39
10.221993,212.102
10.221993,209.239
10.221993,204.58100000000002
10.221993,178.41400000000002
10.221993,174.892
10.221993,171.363
10.221993,143.04000000000002
10.221993,139.49599999999998
10.221993,135.95100000000002
10.221993,107.593
10.221993,104.047
10.221993,100.5
10.221993,71.734
10.221993,68.762
10.221993,65.454
10.221993,209.939
10.221993,206.513
10.221993,202.828
10.221993,178.33200000000002
10.221993,174.826
10.221993,171.307
10.221993,143.002
10.221993,139.458
10.221993,135.913
10.221993,107.54100000000001
10.221993,103.992
10.221993,100.44
10.221993,71.434
10.221993,68.413
10.221993,65.09899999999999
10.221993,212.095
10.221993,209.229
10.221993,204.573
10.221993,178.408
10.221993,174.886
10.221993,171.357
10.221993,143.03199999999998
10.221993,139.488
10.221993,135.94299999999998
10.221993,107.583
10.221993,104.03699999999999
10.221993,100.489
10.221993,71.723
10.221993,68.754
10.221993,65.452
10.221993,212.103
10.221993,209.239
10.221993,204.58100000000002
10.221993,178.41400000000002
10.221993,174.892
10.221993,171.364
10.221993,143.04000000000002
10.221993,139.49599999999998
10.221993,135.95100000000002
