force,strain
10.3065201,24.17
10.3065201,3.1820000000000004
10.3065201,2.42
10.3065201,1.768
10.3065201,172.012
10.3065201,167.59699999999998
10.3065201,162.801
10.3065201,127.80499999999999
10.3065201,123.06900000000002
10.3065201,118.324
10.3065201,80.261
10.3065201,75.506
10.3065201,70.756
10.3065201,33.501000000000005
10.3065201,29.131
10.3065201,24.942
10.3065201,3.455
10.3065201,2.362
10.3065201,1.7209999999999999
10.3065201,173.905
10.3065201,169.908
10.3065201,164.261
10.3065201,127.904
10.3065201,123.158
10.3065201,118.40700000000001
10.3065201,80.345
10.3065201,75.59100000000001
10.3065201,70.84
10.3065201,33.234
10.3065201,28.660999999999998
10.3065201,24.138
10.3065201,3.122
10.3065201,2.386
10.3065201,1.7489999999999999
10.3797288,175.149
10.3797288,171.127
10.3797288,165.43800000000002
10.3797288,128.822
10.3797288,124.043
10.3797288,119.259
10.3797288,80.932
10.3797288,76.145
10.3797288,71.36099999999999
10.3797288,33.5
10.3797288,28.898
10.3797288,24.345000000000002
10.3797288,3.2430000000000003
10.3797288,2.4549999999999996
10.3797288,1.789
10.3797288,173.234
10.3797288,168.787
10.3797288,163.958
10.3797288,128.71200000000002
10.3797288,123.943
10.3797288,119.164
10.3797288,80.831
10.3797288,76.043
10.3797288,71.259
10.3797288,33.741
10.3797288,29.345000000000002
10.3797288,25.116000000000003
10.3797288,3.465
10.3797288,2.4269999999999996
10.3797288,1.734
10.3797288,175.14000000000001
10.3797288,171.115
10.3797288,165.428
10.3797288,128.812
10.3797288,124.03300000000002
10.3797288,119.24799999999999
10.3797288,80.916
10.3797288,76.128
10.3797288,71.343
10.3797288,33.470000000000006
10.3797288,28.867
10.3797288,24.313
10.3797288,3.181
10.3797288,2.4210000000000003
10.3797288,1.769
10.3797288,175.149
10.3797288,171.127
10.3797288,165.43800000000002
10.3797288,128.822
10.3797288,124.043
10.3797288,119.259
10.3797288,80.932
10.3797288,76.145
10.3797288,71.36099999999999
10.3797288,33.5
10.3797288,28.897000000000002
10.3797288,24.342
10.3797288,3.2049999999999996
10.3797288,2.4370000000000003
10.3797288,1.781
10.3797288,173.234
10.3797288,168.787
10.3797288,163.958
10.3797288,128.71200000000002
10.3797288,123.943
10.3797288,119.164
10.3797288,80.831
10.3797288,76.043
10.3797288,71.259
10.3797288,33.739
10.3797288,29.338
10.3797288,25.119
10.3797288,3.479
10.3797288,2.378
10.3797288,1.7329999999999999
10.3797288,175.14000000000001
10.3797288,171.115
10.3797288,165.428
10.3797288,128.812
10.3797288,124.03300000000002
10.3797288,119.24799999999999
10.3797288,80.916
10.3797288,76.128
10.3797288,71.343
10.3797288,33.470000000000006
10.3797288,28.865
10.3797288,24.309
10.3797288,3.145
10.3797288,2.403
10.3797288,1.761
10.391697,175.351
10.391697,171.32399999999998
10.391697,165.62900000000002
10.391697,128.971
10.391697,124.186
10.391697,119.39599999999999
10.391697,81.02600000000001
10.391697,76.233
10.391697,71.444
10.391697,33.539
10.391697,28.931
